"Date";"Type";"Dead";"Injured";"Location";"Details";"Perpetrator";"Conflict";"Month";"Year"
1;"Bombing";"1";"3";"Eker, Bahrain";"Militants detonated a bomb in a village south of Bahrain's capital Manama, hitting a car carrying four passengers, including a woman who died in the blast and three children who sustained minor injuries. Bahraini authorities said the attack was carried out by \"terrorists\", but no group claimed responsibility.[1]";"Unknown";"";"July";"2016"
1;"Shooting";"1";"3";"Mount Hebron, West Bank";"Gunmen in a passing vehicle fired at a family vehicle on Route 60 south to Hebron, killing a Jewish yeshiva head from Otniel, causing the vehicle to flip over. His wife was critically injured and his two teenage daughters were lightly injured. The gunmen fled and no group claimed responsibility.[2] On July 27, 2016, the Israeli military conducted a pre-dawn raid which resulted in the death of the suspected perpetrator[3]";"Palestinian lone wolf";"Israeli–Palestinian conflict";"July";"2016"
1;"Shooting";"1-6 (+6-8)";"Unknown";"Masisi Territory, Democratic Republic of Congo";"The Nyatura and the Alliance of Patriots for a Free and Sovereign Congo simultaneously attacked several Armed Forces of the Democratic Republic of the Congo positions in the Masisi Territory.[4]";"Nyatura
and APCLS";"Kivu conflict";"July";"2016"
1;"Shooting";"6+";"2";"Mandera County, Kenya";"Gunmen fired at two buses within Kenya's Mandera County on the border with Somalia, killing at least six civilians. No group claimed responsibility, but al-Shabaab is suspected.[5] Two people are reported to have been injured.[citation needed]";"al-Shabaab (suspected)";"War in Somalia";"July";"2016"
1;"Suicide bombing";"6 (+1)";"19";"Baghdad, Iraq";"Six people were killed and nineteen others injured when a suicide bomber blew himself up at a busy market area in western Baghdad.[6][7]";"Unknown";"Iraqi Civil War";"July";"2016"
1;"Shooting";"6";"0";"Wak, Kenya";"Six people, including children, were killed aboard a bus during an attack by religious radicals in Kenya.[citation needed]";"Unknown";"";"July";"2016"
1;"Shooting, hostage-taking";"24 (+5)";"50";"Dhaka, Bangladesh";"July 2016 Dhaka attack: A number of gunmen attacked a restaurant popular with foreigners in the wealthy Gulshan Thana area of Dhaka. At least twenty-two civilians, two police officers, and five attackers were killed in shoot-outs and dozens of hostages were taken.[8]";"Islamic State";"Internal conflict in Bangladesh, Attacks by Islamic extremists in Bangladesh";"July";"2016"
1;"Bombing";"1";"11";"Yusufiyah, Iraq";"Unknown militants detonated a bomb near a shop on the outskirts of Yusufiyeh, south of Iraq's capital Baghdad, killing one man and injuring ten others.[9]";"Unknown";"Iraqi Civil War";"July";"2016"
1;"Melee attack";"1";"0";"Bandarban, Bangladesh";"Unknown militants hacked a Buddhist farmer named Mong Shwe Lung Marma (55), a local official of Bangladesh Awami League, to death in southern Bangladesh. Islamic State-affiliated media said the group carried out the attack.[10]";"Islamic State";"Internal conflict in Bangladesh, attacks by Islamic extremists in Bangladesh";"July";"2016"
1;"Melee attack";"1";"0";"Jhenaidah, Bangladesh";"A Hindu temple worker was hacked to death by three suspected Islamic militants on motorcycles in Jhenaidah. The victim's name was Shaymanonda Das.[11]";"Islamic militants (suspected)";"Attacks by Islamic extremists in Bangladesh";"July";"2016"
1;"Assassination";"1";"0";"Caracas, Venezuela";"Elizabeth Aguilera, a political activist and a local leader of Venezuela's governing socialist political party, was shot dead by a paramilitary group, in retaliation for her work against organized crime in Venezuela. Her body was burned with pictures being posted on-line after her death.[12]";"Paramilitary group";"Conflict in Venezuela";"July";"2016"
1;"Shooting";"1";"0";"Dera Murad Jamali, Balochistan, Pakistan";"Two gunmen on motorcycles fired at a man on his way to a market in the Dera Murda Jamali area of Balochistan. The gunmen fled the scene and no group claimed responsibility.[13]";"Unknown";"Balochistan conflict";"July";"2016"
1;"Execution";"1";"0";"Damascus Syria";"A Syrian warplane crashed, either from technical problems or being shot down. The pilot, who survived, was then kidnapped and executed.[14]";"Jaish al-Islam and al Qaeda";"Syrian civil war";"July";"2016"
2;"Suicide bombing";"2+ (+1)";"18";"Jalalabad, Afghanistan";"A suicide bomber on a motorcycle targeted a local tribal elder. The blast killed at least two civilians and wounded eighteen, but the tribal elder was unharmed.[15]";"Taliban (suspected)";"War in Afghanistan";"July";"2016"
2;"Mortar attack";"2";"19";"Baidoa, Somalia";"Al-Shabaab militants launched 11 mortars in close succession, killing two girls, aged four and five. 19 civilians were wounded.[16]";"Al-Shabaab";"War in Somalia";"July";"2016"
2;"Shooting";"1";"0";"Khalediya, Iraq";"An Islamic State sniper assassinated an Iraqi military commander on Khalediya Island, some 20 km east of Ramadi.[17]";"Islamic State";"Iraqi Civil War";"July";"2016"
2;"Shooting";"1";"0";"Baghdad, Iraq";"An employee of the Iraqi Ministry of Migration and Displacement was shot dead in his vehicle. No group claimed responsibility for the attack[18]";"Unknown";"Iraqi Civil War";"July";"2016"
2;"Suicide bombing";"Unknown";"Unknown";"Tikrit, Iraq";"An Islamic State suicide attack was foiled, with an unknown number of attackers killed.[19]";"Islamic State";"Iraqi Civil War";"July";"2016"
2;"Shooting";"7+ (+1)";"Unknown";"Kariz, Afghanistan";"A gunman stormed a house and killed at least seven members of the family. Some family members were able to defend themselves before being killed, and they shot and killed the attacker.[20]";"Taliban (suspected)";"War in Afghanistan";"July";"2016"
2;"Bombing";"4+ or 5";"Unknown";"Kandahar, Afghanistan";"A roadside bomb killed at least four soldiers, with some sources claiming five were killed.[21]";"Taliban (suspected)";"War in Afghanistan";"July";"2016"
3;"Bombing";"342+ (+1)";"246+";"Baghdad, Iraq";"2016 Karrada bombing: At least 346 people were killed, and over 246 injured, in a series of coordinated bomb attacks in Baghdad. Early in the evening of July 3, a large car bomb exploded in the middle of a busy market, killing nearly 346 civilians.[22] The blast occurred in the Baghdad neighborhood of Karrada, which contains Shia Muslims and a large Christian minority. A second car bombing in the district of Sha'ab killed at least 5 people and injured 16, while two more bombings killed at least two more people.[23][24]";"Islamic State";"Iraqi Civil War";"July";"2016"
3;"Execution";"15";"Unknown";"Hawija, Iraq";"Islamic State executed 15 people. The victims included civilians charged by a court and ex-Islamic State members who were accused of \"cowardice\".[25]";"Islamic State";"Iraqi Civil War";"July";"2016"
3;"Car bombing";"2+";"7";"Benghazi, Libya";"At least 2 people were killed and 7 injured after an attack by suspected Islamic militants targeting policemen and civilians.[26]";"Islamic militants (suspected)";"Libyan Civil War";"July";"2016"
3;"Shooting";"1";"Unknown";"al-Aseri, Iraq";"A civilian was killed by gunmen in central al-Maqdadiya.[27]";"Unknown";"Iraqi Civil War";"July";"2016"
3;"Suicide bombing";"7(+1)";"0";"Inkhel, Syria";"Seven rebel commanders were killed by a suicide bomber of ISIS.[28]";"Islamic State";"Syrian civil war";"July";"2016"
3;"Land mine";"1";"0";"Khartsyzk, Ukraine";"Near Khartsyzk, a commander of militants was killed in a land mine blast.[29]";"Donetsk People's Republic";"War in Donbass";"July";"2016"
3;"Assassination";"0";"1";"Abudwak, Somalia";"A senior Somali military commander, Abdiwali Siad, was wounded in an assassination attempt by unknown gunmen.[30]";"Unknown";"War in Somalia";"July";"2016"
4;"Suicide bombing";"4 (+4)";"7";"Jeddah, Qatif and Medina, Saudi Arabia";"2016 Saudi Arabia bombings: A man blew himself up after police tried to arrest him near the United States consulate in Jeddah. Two Saudi police officers were injured in the blast.[31] Two suicide bombers targeted a Shia mosque in Qatif, but failed to harm anyone but themselves.[32] A suicide bomber targeted security forces outside the Prophet's Mosque in Medina killing 4 and wounding 5 others.[33]";"Islamic State";"Terrorism in Saudi Arabia";"July";"2016"
4;"Bombing";"2";"9";"Baghdad, Iraq";"Two people were killed and nine injured after an IED bombing near a market.[34]";"Unknown";"Iraqi Civil War";"July";"2016"
4;"Rockets attack";"Unknown";"50+";"Baghdad, Iraq";"At least 50 people were injured when Camp Liberty, a camp housing the People’s Mojahedin Organization of Iran, the main opposition party to the Iranian regime, was shelled. Over 50 rockets and mortar rounds hit the camp, which is located near Baghdad International Airport, causing extensive damage.[35]";"Iran-affiliated militias (suspected)";"Iraqi Civil War";"July";"2016"
4;"Suicide bombing";"0 (+3)";"2";"Monguno, Nigeria";"Two people were injured when Nigerian troops shot and killed three female suicide bombers who were targeting internally displaced persons in northern Nigeria. The injuries came as a result of one of the suicide bomber's vest exploding.[36]";"Boko Haram";"Boko Haram insurgency";"July";"2016"
5;"Shooting, machete attack";"9";"0";"Beni Territory, Democratic Republic of Congo";"Nine people were killed in a nighttime attack by Ugandan rebels in the city of Oisha, located in the North Kivu province of the DRC.[37]";"Allied Democratic Forces";"Kivu conflict";"July";"2016"
