"Date";"Type";"Dead";"Injured";"Location";"Details";"Perpetrator";"Conflict";"Month";"Year"
"6";"Bombing";"3";"8";"Narathiwat, Thailand";"Muslims militants set off a bomb outside a school, killing a 5-year-old girl and her father.[36]";"Unknown";"South Thailand Insurgency";"September";"2016"
"6";"Bombing";"4";"3";"Mogadishu, Somalia";"A women and her daughter are among three people disassembled by an al-shabaab bomb blast in a market. A fatal shelling attack also took place near the presidential place.[37]";"Al-Shabaab";"War in Somalia";"September";"2016"
"6";"Execution";"2";"0";"Bardale, Somalia";"Two elders were abducted from their homes and subsequently executed.[38]";"Al-Shabaab";"War in Somalia";"September";"2016"
"6";"Bombing";"4";"8";"Salah ad-Din, Iraq";"An explosive device emplaced by Islamic State members between Al-Zawiya and Sharqat killed 4 civilians and wounded 8 others. The bomb targeted families fleeing from areas controlled by Islamic State in Sharqat and surrounding villages.[39]";"Islamic State";"Iraqi Civil War";"September";"2016"
"6";"Ambush";"0";"3";"Kashmir, India";"Three soldiers were wounded after being ambushed by Islamic militants. No group claimed responsibility.[40]";"Unknown";"Kashmir Conflict";"September";"2016"
"7";"Land mine";"4";"Unknown";"Derna, Libya";"Derna Shura Council media office has reported that 4 fighters from the Dignity Operation forces led by Khalifa Haftar in a landmine blast in Daher Hamar front line, western Derna. The media office also said Wednesday evening that the land mine explosion has caused injuries among a number of other fighters for Dignity Operation, which has been besieging the city for quite a long period now.[41]";"Islamic State";"second Libyan Civil War";"September";"2016"
"7";"Bombing";"1";"4";"Baghdad, Iraq";"An improvised explosive device exploded targeting a police patrol while it was passing in al-Dawra area in southern Baghdad, killing one of its members and wounding four others.[42]";"Unknown";"Iraqi Civil War";"September";"2016"
"7";"Bombing";"0";"6";"Peshawar, Pakistan";"A grenade attack in Peshawar’s Mathra injured six this morning, including three whose states have been declared critical. Reports state the attack was targeted at a police vehicle, however the motive has not as yet been determined.[43]";"Unknown";"Kashmir conflict";"September";"2016"
"7";"Bombing";"0";"0";"Tripoli, Libya";"Two car bombs exploded outside Tripoli's foreign ministry and a naval base. No casualties were reported.
[44]";"Unknown";"Libyan Civil War";"September";"2016"
"8";"Bombing";"1";"8";"Baghdad, Iraq";"A bomb exploded near a popular market in Sabaa al-Bour area, north of Baghdad, killing one person and wounding eight others.[45]";"Unknown";"Iraqi Civil War";"September";"2016"
"8";"Bombing";"2";"5";"Baghdad, Iraq";"A bomb exploded near shops in the Euphrates neighborhood, southwest of Baghdad, killing two people and wounding five others.[46]";"Unknown";"Iraqi Civil War";"September";"2016"
"9";"Bombing";"3";"1";"Tel al-Hawa, Syria";"Three Turkish soldiers were killed and one was injured when Islamic State militants hit a Turkish tank in Syria.[47]";"Islamic State";"Syrian civil war";"September";"2016"
"9";"Melee attack";"0";"1 (+1)";"Raska, Serbia";"A man was arrested in southwestern Serbia after he tried to assault police officers with a machete while shouting Allahu Akbar. The man was a self-proclaimed Salafist.[48][49]";"Salafist Lone wolf";"Wave of Terror in Europe";"September";"2016"
"9";"Shooting";"3";"2";"Boni, Mali";"Three Malian troops were killed after suspected al-Qaeda fighters ambushed them in the centre of the country.[50]";"AQIM
(suspected)";"Northern Mali conflict";"September";"2016"
"9";"Assassination";"1";"0";"Nampula, Mozambique";"Gunmen of the Mozambican rebel movement Renamo killed the head of the police station in Iulute administrative post, in the northern province of Nampula.[51]";"RENAMO";"RENAMO insurgency";"September";"2016"
