"Date";"Type";"Dead";"Injured";"Location";"Details";"Perpetrator";"Conflict";"Month";"Year"
10;"Roadside Bomb";"2";"4";"Arish, Egypt";"Two police officers were killed and another four injured by a roadside bomb in Egypt’s Sinai Peninsula, according to a statement released by the Interior Ministry.[30]";"Islamic State";"Sinai Insurgency";"March";"2017"
11;"Shooting";"8 (+1)";"1+";"Zabul Province, Afghanistan";"Eight members of the security forces have been killed by gunmen in southern Zabul province.[31]";"Taliban";"War in Afghanistan";"March";"2017"
11;"Car bombing, suicide bombing";"74 (+1)";"120+";"Damascus, Syria";"March 2017 Damascus bombings: Twin bombings in the Old City of Damascus killed at least 74 and injured more than 100 others, most of them Iraqi Shia pilgrims.[32][33]";"Tahrir al-Sham";"Syrian Civil War";"March";"2017"
11;"Ambush";"12";"3";"Chhattisgarh, India";"Suspected Maoist rebels ambushed a police patrol, killing at least 11 paramilitary commandos and seizing weapons and supplies. At least three officers were critically injured in the attack, which took place in the Sukma district, the site of a deadly 2013 attack.[34][35]";"Communist Party of India (Maoist) (suspected)";"Naxalite–Maoist insurgency";"March";"2017"
11;"Assassination";"1";"0";"Man, Ivory Coast";"The muezzin of a mosque was found butchered by a suspected jihadist.[36]";"Jama'at Nasr al-Islam wal Muslimin (suspected)";"Insurgency in the Maghreb";"March";"2017"
12;"Shooting";"1 (+2)";"3";"Kebili, Tunisia";"A police officer and two militants were killed in a shootout at a checkpoint in southern Tunisia that left three other officers injured.[37]";"Al-Qaeda in the Islamic Maghreb";"Insurgency in the Maghreb";"March";"2017"
12;"Shooting";"0";"0 (+Unknown)";"Acobamba District, Peru";"Militants of Sendero Luminoso attacked a helicopter of the armed forces of Peru, the latter responded to the attack leaving as balance several wounded attackers.[38]";"Sendero Luminoso";"Internal Conflict in Peru";"March";"2017"
13;"Bombings";"13 (+1)";"16";"Mogadishu, Somalia";"An explosion near the Weheliye Hotel killed 13 people and injured 14 others. Hours earlier a suicide bomber in a minibus detonated his explosive load at a checkpoint, killing himself and injuring two bystanders.[39][40]";"Al-Shabaab";"War in Somalia";"March";"2017"
13;"Bombings";"1";"22";"Kabul, Afghanistan";"A roadside bomb destroyed a bus carrying government employees in central Kabul, killing one person and leaving 8 others injured.[41][42]";"Taliban (suspected)";"War in Afghanistan";"March";"2017"
13;"Shooting";"4";"1+";"Mali";"Two Malian soldiers and two Malian civilians were killed in a shooting attack.[43]";"Jama'at Nasr al-Islam wal Muslimin";"Insurgency in the Maghreb";"March";"2017"
13;"Executions";"3";"0";"Nigeria";"Three Nigerian men were executed by Bolo Haram militants. The three men were accused of being Nigerian military spies.[44]";"Boko Haram";"Boko Haram insurgency";"March";"2017"
