"Date";"Type";"Dead";"Injured";"Location";"Details";"Perpetrator";"Conflict";"Month";"Year"
1;"Rocket attacks";"1";"2";"Lashkar Gah, Afghanistan";"A person was killed and two others were injured in three rocket attacks.[1]";"Taliban";"War in Afghanistan";"February";"2017"
1;"Executions";"5";"0";"Hawija, Iraq";"The Islamic State executed five civilians in Hawija.[2]";"Islamic State";"Iraqi Civil War";"February";"2017"
1;"Executions";"6";"0";"Qandala, Somalia";"Three civilians and three soldiers were executed by Islamic State militants.[3]";"Islamic State";"War in Somalia";"February";"2017"
1;"Shooting";"7";"Unknown";"Baidoa, Somalia";"Seven soldiers were killed by an Al-Shabaab ambush.[4]";"Al-Shabaab";"War in Somalia";"February";"2017"
1;"Landmine";"7";"5";"Koraput, India";"At least eleven police personnel were killed and five injured in a landmine blast triggered by suspected Maoists in Odisha’s Koraput district on Wednesday.[5]";"Naxalites (suspected)";"Naxalite–Maoist insurgency";"February";"2017"
1;"Shooting";"2";"6";"Boosaaso, Somalia";"Two soldiers were killed and six others were injured.[3]";"Al-Shabaab";"War in Somalia";"February";"2017"
1;"Shooting";"3";"Unknown";"Mandera, Kenya";"Two Kenyan police officers and a 15-year-old boy were killed by an Al-Shabaab attack.[3][6]";"Al-Shabaab";"Spillover of the War in Somalia";"February";"2017"
2;"Bombings";"1";"5";"Baghdad, Iraq";"An explosion killed one person and wounded three near a market in southern Baghdad. Another bombing earlier wounded two civilians.[7]";"Islamic State (suspected)";"Iraqi Civil War";"February";"2017"
2;"Arson, Bombing";"0";"Unknown";"Mexico City, Mexico";"A cell of insurrectional anarchist group launched an explosive-incendiary attack on a Citibanamex bank.[8]";"Anarchists";"Anarchism in Mexico";"February";"2017"
2;"Bombing";"0";"0";"Mogadishu, Somalia";"Al Shabaab militants attempted to assassinate Somali Senator Osman Mohamud Dufle by detonating an IED. No casualties were reported.[4]";"Al-Shabaab";"War in Somalia";"February";"2017"
2;"Bombing";"6";"Unknown";"Abyan, Yemen";"Six people were killed by an Al-Qaeda bombing.[3]";"Al-Qaeda in the Arabian Peninsula";"Yemeni Civil War";"February";"2017"
2;"Shooting";"5";"Unknown";"Kontcha, Cameroon";"A suspected Boko Haram attack along Cameroon's border with Nigeria killed a U.N. independent contractor and four others.[9]";"Boko Haram (suspected)";"Boko Haram insurgency";"February";"2017"
3;"Bombing";"0";"0";"Rafah, Egypt";"Militants blew up a school in the city of Rafah in Egypt's northern Sinai Peninsula, according to a local security source.[10]";"Islamic State – Sinai Province";"Sinai insurgency";"February";"2017"
3;"Stabbing";"0";"1 (+1)";"Paris, France";"2017 Paris machete attack: An man armed with a knife was shot by a French soldier. The man was stopped while attempting to enter the Louvre and attacked a soldier with a machete. Another soldier shot the attacker, wounding him, and took him into custody.[11]";"Lone wolf";"Islamic terrorism in Europe";"February";"2017"
3;"Shooting";"8";"Unknown";"Almar, Afghanistan";"A Taliban insurgent killed at least eight police personnel.[12]";"Taliban";"War in Afghanistan";"February";"2017"
3;"Attacks and kidnapping";"3+";"5";"Various cities, Philippines";"The New People's Army carried at least 20 attacks across the country and took at least 5 soldiers as \"prisoners of war.\"[13]";"New People's Army";"CPP–NPA–NDF rebellion";"February";"2017"
3;"Assassination";"2";"0";"Luhansk, Ukraine";"The head of the Luhansk People's Republic militia, Colonel Oleg Anashchenko, was killed along with another person while riding on an official car in Luhansk city when the vehicle struck an improvised explosive device.[14]";"Ukrainian anarchists";"War in Donbass";"February";"2017"
4;"Bombing";"3";"Unknown";"Kismayo, Somalia";"Three soldiers were killed and several others injured by an Al-Shabaab bombing.[15]";"Al-Shabaab";"War in Somalia";"February";"2017"
