"Date";"Type";"Dead";"Injured";"Location";"Details";"Perpetrator";"Conflict";"Month";"Year"
1;"Stabbing";"0 (+1)";"3";"East Jerusalem, Israel";"Three people were injured in a stabbing attack in the Old City of Jerusalem's Muslim Quarter.[1]";"Palestinian Nationalist";"Israeli–Palestinian conflict";"April";"2017"
1;"Bombing";"1";"15";"Tanta, Egypt";"A booby-trapped motorbike exploded outside a police training center, killing one police officer and injuring 12 others, as well as 3 civilians.[2]";"The Hasm Movement (suspected)";"Insurgency in Egypt";"April";"2017"
1;"Attack";"~10";"Unknown";"Cross River State, Nigeria";"Attack by suspected Fulani herdsmen has left not less than 10 people dead and over 3,500 rendered homeless in Obio Usiere, Eniong Abatim, Odukapni local government council of Cross River State.[3]";"Fulani herdsmen";"Communal conflicts in Nigeria";"April";"2017"
2;"Bombing";"1";"1";"South Waziristan Agency, Pakistan";"A member of the security forces was killed and another was injured in an explosion in the South Waziristan Agency.[4]";"Jamaat-ul-Ahrar (suspected)";"War in North-West Pakistan";"April";"2017"
2;"Grenade attack";"1";"14";"Nowhatta, India";"A police officer was killed and 11 others were injured in a grenade attack in Nowhatta.[5]";"Jaish-e-Mohammed";"Kashmir conflict";"April";"2017"
2;"Roadside bombing";"0";"6";"Kirkuk, Iraq";"Two improvised explosive devices (IED) injured six Peshmerga troops in west of Tuz Khurmatu, south of Kirkuk.[6]";"Islamic State";"Iraqi Civil War";"April";"2017"
3;"Attack";"0";"12";"Yala Province, Thailand";"Some 20 to 30 suspected insurgents injured 12 officers while attacking a police checkpoint in the Thai Deep South with grenade launchers and other weapons on Monday, the police chief in Yala province said.[7][7]";"Runda Kumpulan Kecil (suspected)";"South Thailand insurgency";"April";"2017"
3;"Bombing";"0";"1";"Arish, Egypt";"A police officer was injured when he thwarted a terrorist attack on a security checkpoint in Arish.[8]";"Islamic State";"Insurgency in Egypt";"April";"2017"
3;"Shooting";"2 (+4)";"0";"Astrakhan, Russia";"A Kazakh man killed two policemen in Astrakhan.[9] Four insurgents were also killed by the police hour after the attack occurred.[10]";"Islamic State";"Insurgency in the North Caucasus";"April";"2017"
3;"Suicide bombing";"15 (+1)";"64";"St Petersburg, Russia";"2017 Saint Petersburg Metro bombing: A suicide bombing occurred on the St Petersburg Metro, on the day Vladimir Putin was due to visit the city. 16 people[11] were killed in the attack, including the suicide bomber. 64 others were also injured. Russian media has reported that he travelled to Syria in 2014 and trained with militants. Imam Shamil Battalion, an Al-Qaeda affiliate, claimed responsibility for the attack.[12][13][14][15][16]";"Imam Shamil Battalion";"Islamic terrorism in Europe";"April";"2017"
3;"Suicide car bombing";"3 (+1)";"7";"Fallujah, Iraq";"Three police personnel were killed and seven troops – four police personnel and three army soldiers – were injured in a suicide bombing in Iraq's western city of Fallujah, according to a local military officer.[17]";"Islamic State";"Iraqi Civil War";"April";"2017"
4;"Bombing";"3";"5";"Sirnak, Turkey";"At least three Turkish soldiers were killed and five others were injured during anti-terror operations in Küpeli Mountain in Turkey's southeastern Sirnak province, theSirnak Governorate said Tuesday.[18]";"PKK";"Kurdish–Turkish conflict";"April";"2017"
4;"Shooting";"1";"4";"Bingol, Turkey";"A village guard was killed and three other village guards and one security official were slightly injured during an operation against the PKK.[19]";"PKK";"Kurdish–Turkish conflict";"April";"2017"
