"Date";"Type";"Dead";"Injured";"Location";"Details";"Perpetrator";"Conflict";"Month";"Year"
3;"Ambush";"8";"6";"Nagaland, India";"At least eight Assam Rifles personnels have been killed and six others injured in an ambush by suspected NSCN militants in Mon district of Nagaland on Sunday afternoon. Four other jawans of the paramilitary force are reported missing.[1]";"NSCN";"Insurgency in Northeast India";"May";"2015"
3;"Car bomb";"19";"Unknown";"Baghdad, Iraq";"Two car bombs were detonated ten minutes apart in Baghdad, Iraq. Nineteen were killed and an unknown number wounded. ISIL claimed responsibility for the attacks.[2]";"ISIL";"Iraq War";"May";"2015"
3;"Shooting";"0 (+2)";"1";"Garland, Texas, United States";"Garland terror attack: In an incident at a Curtis Culwell Center, a school district owned events center, two assailants opened fire outside a Mohammed art exhibit in Garland, Texas. Two gunmen drove up to the Curtis Culwell Center and opened fire on a security guard. A local policeman, providing security for the event, returned fire, killing both suspects. One security guard was injured and released from the hospital. Identity and motive of the suspects has not been identified. The American Freedom Defense Initiative hosted the art exhibit in support of freedom of speech. Guest speakers included politician Geert Wilders.[3]";"ISIL";"";"May";"2015"
3;"Raid";"17+";"Unknown";"Warduj, Afghanistan";"Taliban militants overran checkpoints in Warduj, killing 17 policemen at late night of 3 May.[4]";"Taliban";"War in Afghanistan";"May";"2015"
4;"Suicide bombing";"1";"15";"Kabul, Afghanistan";"A government bus was attacked by a suicide bomber in Kabul, killing one person and injuring 15 others.[5]";"Taliban";"War in Afghanistan";"May";"2015"
8;"Suicide bombing";"22";"Unknown";"Balad Ruz, Iraq";"Three suicide bombers attacked the Al Zahraa mosque and the Imam Hussein mosque, killing at least 22 people in total, including a senior police officer.[6]";"ISIL (suspected)";"Iraq War";"May";"2015"
9;"Shooting";"22";"37";"Kumanovo, Republic of Macedonia";"Kumanovo shootings: On 9 May 2015 an armed group clashed with police and army forces of the Republic of Macedonia in Kumanovo in northern Republic of Macedonia. Kumanovo is situated 40 km from the capital city of Skopje.";"UÇK";"";"May";"2015"
10;"Car bomb";"14";"30";"Baghdad, Iraq";"Two car bombs were detonated ten minutes apart in Baghdad, Iraq and surrounding towns of Taji and Tarmiyah. Fourteen were killed and thirty were wounded. The majority of the casualties were members of the security forces. ISIL claimed responsibility for the attacks.[7]";"ISIL";"Iraq War";"May";"2015"
10;"Suicide bombing";"3";"10";"Kabul, Afghanistan";"A bus carrying Afghan government employees was attacked in Kabul by a suicide bomber, killing 3 people and injuring 10. The Taliban claimed responsibility.[8]";"Taliban";"War in Afghanistan";"May";"2015"
12;"Suicide bombing";"6";"16";"Baghdad, Iraq";"A suicide bomber along with two mortar attacks were launched during a Shi'ite march in Baghdad, Iraq. Four were killed and twelve wounded in the van bombing and two were killed and four wounded during a mortar attack in Boub al-Sham. It is unknown who carried out the attacks.[9]";"Unknown";"War in Afghanistan";"May";"2015"
12;"Shooting";"1";"0";"Sylhet, Bangladesh";"Masked miscreants killed Ananta Bijoy Das, 30, a blogger, at the Bankalaparha area of Sylhet town.[10]";"Islamic extremist";"";"May";"2015"
13;"Attack";"45";"13";"Karachi, Pakistan";"A bus carrying Shia Muslims was attacked by six armed gunman who rode up in motorcycles. After the attack the bus driver drove straight to a hospital, where people said most of the riders were either dead, unconscious, and spattered in blood.[11]";"Jundallah (claimed), ISIL (claimed), Tehrik-i-Taliban Pakistan (claimed)";"Sectarianism in Pakistan";"May";"2015"
14;"Suicide bombing, hostage taking";"14";"6";"Kabul, Afghanistan";"Park Palace guesthouse attack: A hotel that was hosting a cultural event was attacked by Taliban fighters in Kabul leaving 14 dead including an American, an Italian, and 4 Indians.[12]";"Taliban";"War in Afghanistan";"May";"2015"
17;"Suicide bombing";"3";"18";"Kabul, Afghanistan";"A suicide bomber detonated their explosives near the entrance of Hamid Karzai International Airport targeting a European police training vehicle, the blast killed two teenage Afghan girls and one British citizen. The Taliban claimed responsibility in an e-mail to the media.[13]";"Taliban";"War in Afghanistan";"May";"2015"
19;"Suicide bombing";"1";"7";"Al Qubbah, Libya";"A suicide bomber drove up to a checkpoint in a vehicle packed with explosives, detonating it and killing himself and injuring 7 others.[14]";"ISIL (suspected)";"Libyan Civil War";"May";"2015"
19;"Suicide bombing";"4";"42";"Kabul, Afghanistan";"A suicide car bomber detonated their explosives in the parking lot of a Justice Ministry building in the diplomatic section of Kabul, killing four people and sending 42 to the hospital. The Taliban claimed responsibility through an e-mail to the media.[15]";"Taliban";"War in Afghanistan";"May";"2015"
20;"Vehicular assault";"0 (+1)";"2";"East Jerusalem";"In a suspected terrorist attack, forty-one-years-old Omran Abu Dheim drove his car into two Israeli border officers in the At-Tur neighborhood of east East Jerusalem, injuring them. Another officer then shot the suspect, who died of his wounds shortly afterwards.[16]";"Omran Abu Dheim (lone wolf)";"Israeli–Palestinian conflict";"May";"2015"
21;"Suicide bombing";"3";"0";"Misrata, Libya";"A suicide bomber detonated his explosives at a military checkpoint outside of Misrata killing himself and two guards.[17]";"ISIL";"Libyan Civil War";"May";"2015"
22;"Suicide bombing";"21";"90+";"al-Qadeeh, Saudi Arabia";"A suicide bomber attacked a Shia mosque during prayer in the al-Qadeeh village in Saudi Arabia. Twenty-one were killed with more than ninety wounded. ISIL claimed responsibility for the attack.[18]";"ISIL";"";"May";"2015"
22;"Unarmed Assault";"0";"1";"Montreal, Canada";"Assailants attacked a juice bar with pepper spray and smoke bombs in Montreal city, Quebec province, Canada. At least one person was pepper sprayed. No group claimed responsibility for the incident.[19]";"Unknown";"Terrorism in Canada";"May";"2015"
