"Date";"Type";"Dead";"Injured";"Location";"Details";"Perpetrator";"Conflict";"Month";"Year"
"6";"Stabbing";"2";"0";"Monufia, Egypt";"Two Egyptian Coptic Christians were murdered. They were murdered because of their faith, according to the brother of the dead woman.[35]";"Lone wolf";"";"January";"2017"
"6";"Execution";"1";"0";"Raqqa, Syria";"Islamic State militants beheaded an elderly man in Raqqa for allegedly practicing magic and sorcery.[36]";"Islamic State";"Syrian Civil War";"January";"2017"
"6";"Shooting";"13";"3";"Tala wa Barfak, Afghanistan";"Gunmen shot dead at least 13 miners belonging to Afghanistan's Hazara minority after pulling their vehicle over in Baghlan Province. Local officials blamed the Taliban, but the group denied responsibility.[37]";"Taliban (suspected)";"War in Afghanistan";"January";"2017"
"6 or 7";"Suicide bombing";"6 (+1)";"20";"Abyan, Yemen";"Six Yemeni soldiers were killed and 20 others injured in a suicide attack in Abyan.[38]";"Islamic State";"Yemeni Civil War";"January";"2017"
"7";"Bombing";"0";"2";"Lamphelpat, India";"Two CRPF jawans soldiers were injured in a powerful IED explosion near the office of Deputy Commissioner in western Imphal, in the state of Manipur.[39]";"Kangleipak Communist Party[40]";"Insurgency in Northeast India";"January";"2017"
"7";"Car bombing";"60+";"50";"Azaz, Syria";"January 2017 Azaz bombing: At least 60 people were killed and 50 others wounded in a car bomb attack at a marketplace in the rebel-held northern town of Azaz.[41]";"Islamic State (suspected)";"Syrian Civil War";"January";"2017"
"7";"Attack";"5 (+15)";"Unknown";"Yobe State, Nigeria";"A large group of militants attacked a Nigerian Army base in Buni Yadi, but were repelled by government forces. At least five soldiers and 15 attackers were killed, with an unknown number injured.[42]";"Boko Haram (suspected)";"Boko Haram insurgency";"January";"2017"
"7";"Shooting, attempted suicide bombings";"0 (+2)";"1";"Riyadh, Saudi Arabia";"Two suicide bombers were killed by a police officer before they were able to self-detonate.";"Islamic State";"Spillover of the Syrian Civil War";"January";"2017"
"7";"Bombing";"1";"2";"Zabul, Afghanistan";"A blast occurred in Zabul Province. The attack left one dead and two others injured. All victims were policemen.[43]";"Taliban";"War in Afghanistan";"January";"2017"
"8";"Roadside bomb";"5";"Unknown";"Taiz, Yemen";"At least five civilians were killed and many injured when a truck hit a landmine in Taiz's Al-Taziya district.[44]";"Unknown";"Yemeni Civil War";"January";"2017"
"8";"Suicide car bombing";"20 (+2)";"50+";"Baghdad, Iraq";"Islamic State claimed responsibility for a pair of suicide car bombings in Baghdad. At least 20 were killed and more than 50 others were injured.[45]";"Islamic State";"Iraqi Civil War";"January";"2017"
"8";"Vehicular attack";"4 (+1)";"17";"East Jerusalem, Israel";"2017 Jerusalem truck attack: At least four people were killed and 17 others were injured when a truck rammed into a group of Israeli soldiers.[46]";"Lone wolf";"Israeli–Palestinian conflict";"January";"2017"
"8";"Shooting";"3";"Unknown";"Jourian, India";"Several unidentified militants attacked a camp housing road construction workers in the Indian state of Jammu and Kashmir, killing three laborers before fleeing.[47]";"Militants";"Kashmir Conflict";"January";"2017"
"9";"Suicide car bombing, shooting";"8 (+5)";"15";"Arish, Egypt";"Seven Egyptian police officers and one civilian were killed, while a total of 12 others were injured when insurgents detonated a truck bomb at a checkpoint near Arish in the Sinai Province. Government forces repelled the attack, killing five militants and injuring three others.[48]";"Islamic State";"Sinai Insurgency";"January";"2017"
"9";"Shooting";"1";"0";"Puerto Jordán, Colombia";"A soldier was shot dead in an attack by ELN guerrillas.[49]";"National Liberation Army";"Colombian Conflict";"January";"2017"
"9";"Shooting";"0";"1";"Athens, Greece";"A police officer was wounded in central Athens as shots were fired outside the offices of the Pan-Hellenic Socialist Party.[50]";"Anarchists (suspected)";"Terrorism in Greece";"January";"2017"
"9";"Shooting";"0 (+1)";"1";"Bandipora, India";"A suspected Lashkar-e-Taiba (LeT) militant was killed and a soldier injured in an encounter in Hajin tehsil of Bandipora, Kashmir.[51]";"Lashkar-e-Taiba (suspected)";"Kashmir Conflict";"January";"2017"
"9";"Bombing";"1";"0";"Zabul, Afghanistan";"A bombing left one dead in Zabul Province.[52]";"Taliban";"War in Afghanistan";"January";"2017"
"9";"Bombing";"1";"2";"Jalalabad, Afghanistan";"A bomb killed one and another two were injured in the city of Jalalabad.[53]";"Taliban";"War in Afghanistan";"January";"2017"
"10";"Suicide bombings";"3 (+2)";"0";"Kalari, Nigeria";"Two female bombers killed themselves and three other people, when they went to private residences in the Kalari area, disguised as visitors.[54]";"Boko Haram";"Boko Haram insurgency";"January";"2017"
"10";"Suicide car bombing";"38 (+1)";"70+";"Kabul, Afghanistan";"10 January 2017 Afghanistan bombings: A car bomb exploded in the center of the city of Kabul. At least 38 people were killed and at least 70 others were injured. The Taliban claimed responsibility for the attacks, saying that vehicles carrying members of the National Directorate of Security were targeted.[55]";"Taliban";"War in Afghanistan";"January";"2017"
"10";"Bombing";"12";"14";"Kandahar, Afghanistan";"10 January 2017 Afghanistan bombings: 11 people, including five diplomats from the United Arab Emirates, were killed in a bomb attack.[56] On the 15 February 2017, the UAE ambassador succumbed to his wounds.[57]";"Islamic State (suspected)";"War in Afghanistan";"January";"2017"
"10";"Suicide bombing";"7 (+1)";"6";"Lashkargah, Afghanistan";"10 January 2017 Afghanistan bombings: A suicide bombing on a house in Lashkargah claimed seven civilians lives and another six were injured.[58]";"Taliban";"War in Afghanistan";"January";"2017"
"10";"Bombing";"1";"11";"Gondar, Ethiopia";"A grenade attack killed one person and injured 11 at a crowded hotel bar in the town of Gondar in the Amhara Region.[59]";"Anarchists (suspected)";"2016 Ethiopian protests";"January";"2017"
"10";"Car bombing";"1";"5";"Abyan, Yemen";"A car bombing seriously wounded a senior security official and killed one of his guards. Four other guards were wounded in the attack.[60]";"Salafist jihadist (suspected)";"Al-Qaeda insurgency in Yemen";"January";"2017"
"10";"Stabbing,";"0 (+1)";"1";"al-Fari'ah, West Bank";"A Palestinian man attacked Israeli soldiers with a knife and was subsequently shot dead.[61]";"Lone Wolf";"Israeli–Palestinian conflict";"January";"2017"
"10";"Shooting";"8";"0";"Zamboanga City, Philippines";"Eight fishermen were killed in an attack by suspected Abu Sayyaf militants off south-western Mindanao.[62]";"Abu Sayyaf (suspected)";"Moro Conflict";"January";"2017"
"10";"Shooting, Attempted kidnapping";"0";"1";"San Pedro, Paraguay";"Suspected members of the EPP entered a house in San Pedro and attacked two Mennonite brothers in a possible failed kidnapping attempt.[63]";"Paraguayan People's Army (suspected)";"Paraguayan People's Army insurgency";"January";"2017"
"10";"Executions";"3";"0";"Bu'ale, Somalia";"Militant group Al-Shabaab shot two men and a teenager in southern Somalia.[64][65]";"Al-Shabaab";"Somali Civil War";"January";"2017"
"11";"Bombing";"1";"0";"Yobe, Nigeria";"A Nigerian soldier was killed by a bomb planted by Boko Haram militants.[66]";"Boko Haram";"Boko Haram insurgency";"January";"2017"
"11";"Car bombing";"1";"5";"Baghdad, Iraq";"A car bomb detonated in the al-Bayaa district of Baghdad, killing one person and wounding five others.[67]";"Islamic State (suspected)";"Iraqi Civil War";"January";"2017"
"12";"Roadside Bomb";"5";"2";"Segou, Mali";"Five Malian soldiers were killed and two others injured when their patrol hit a landmine in Mali`s Segou region.[68]";"Lone wolf";"Northern Mali Conflict";"January";"2017"
"12";"Suicide bombing";"7 / 8+ (+1)";"Unknown";"Damascus, Syria";"A suicide bomber killed at least eight people in a high-security district of Damascus.[69][70]";"Al-Qaeda (suspected)";"Syrian Civil War";"January";"2017"
"12";"Assassination";"1";"0";"Karachi, Pakistan";"A police officer was killed by Tehreek-e-Taliban[71]";"Tehreek-e-Taliban";"";"January";"2017"
"13";"Bombing";"0";"3";"Santiago, Chile";"The chairman of the board of Chilean state copper giant Codelco and twoother persons suffered non-life-threatening injuries on Friday from the detonation of a parcel bomb sent to his home in Santiago.[72] An \"eco-terrorist\" group called Individualists Tending Toward the Wild claimed responsibility.[73][74]";"Anarchists (suspected)";"Terrorism in Chile";"January";"2017"
"13";"Executions";"2";"0";"Raqqa, Syria";"Two men in northeastern Syria were crucified after being accused of supporting the Kurdish YPG forces and the US-led coalition.[75]";"Islamic State";"Syrian Civil War";"January";"2017"
"13";"Suicide bombings";"6";"14";"Madagali, Nigeria";"Suicide bombers killed and injured many in a crowded market in the northeastern Nigerian town of Madagali.[76]";"Boko Haram";"Boko Haram insurgency";"January";"2017"
"13";"Shooting";"0";"2";"Belfast, United Kingdom";"A man and woman were shot in Northern Ireland while attempting to protect their son from paramilitaries.[77][78]";"Óglaigh na hÉireann (Real IRA splinter group)";"Dissident Irish Republican campaign";"January";"2017"
"14";"Roadside Bomb";"2";"Unknown";"Borno State, Nigeria";"Two soldiers were killed in Borno State in a roadside bombing.[79]";"Boko Haram";"Boko Haram insurgency";"January";"2017"
