"Date";"Type";"Dead";"Injured";"Location";"Details";"Perpetrator";"Conflict";"Month";"Year"
13;"Melee attack";"0 (+1)";"2";"Cave of the Patriarchs, Hebron";"A Palestinian assailant tried to stab Israeli soldiers stationed near the Cave of the Patriarchs in Hebron in the West Bank. A soldier was slightly wounded, the terrorist, a Hebron resident aged 17, was killed. In the incident, a Palestinian was wounded and evacuated to Shaarei Tzedek hospital in Jerusalem.[19]";"Kalzar al-Uweiwi (Palestinian lone wolf)";"Israeli-Palestinian conflict";"February";"2016"
13;"Bombing";"2";"1";"Sinai, Egypt";"A roadside bomb exploded when Egyptian soldiers were trying to defuse it. Two soldiers, including an officer were killed and another one was wounded. No group claimed responsibility for planting the bomb but IS–linked Wilayat Sayna is suspected.[20]";"IS linked Wilayat Sayna (suspected)";"Sinai insurgency";"February";"2016"
13;"Vehicular attack";"0";"4 (+3)";"Ma'ale Adumim, West Bank";"Four border police were slightly injured on Saturday in a car ramming attack, outside a military base near Ma'ale Adumim, east of Jerusalem, in the West Bank. Police say the suspects continued driving after shots had been fired, and slammed into the vehicle of a second police team, before they were apprehended. Two of the Palestinian suspects were lightly wounded and a third suffered moderate injuries.[21]";"Palestinians lone wolf";"Israeli-Palestinian conflict";"February";"2016"
13;"Suicide bombing";"Unknown";"Unknown";"Helmand Province, Afghanistan";"Several Sangin security force members are killed by Taliban suicide attacks, using captured military Humvee vehicles, in the southern Afghan province of Helmand.[22]";"Taliban";"War in Afghanistan";"February";"2016"
13;"Attack";"22";"Unknown";"Yakshari, Nigeria";"Members of Boko Haram attacked Yakshari, killing 22 people.[18]";"Boko Haram";"Boko Haram insurgency";"February";"2016"
15;"Car bomb";"2";"17";"Derbent, Russia";"A car bomb killed at least 2 people and 17 others were injured in Derbent, a city in the Republic of Dagestan. The Islamic State claimed responsibility for the attack.[23]";"Islamic State";"Insurgency in the North Caucasus";"February";"2016"
15;"Car bomb";"1";"1";"Mogadishu, Somalia";"Muhidin Mohamed, former Somali defense minister, died in the explosion of a bomb, placed in his car in Mogadishu. Another person was also wounded in the attack. No group claimed responsibility, but Al-Shabaab is suspected.[24]";"Al-Shabaab (suspected)";"War in Somalia";"February";"2016"
17;"Suicide bombing";"13";"60";"Aden, Yemen";"A suicide bomber kills at least 13 recruits at a Yemeni Army base run by forces loyal to ousted President Abd Rabbuh Mansur Hadi in the southern port city of Aden. The Islamic State claimed responsibility for the attack.[25]";"Islamic State";"Yemeni Civil War";"February";"2016"
17;"Suicide car bombing";"30";"61";"Ankara, Turkey";"February 2016 Ankara bombing: At least 30 people died and 61 were injured in the Turkish capital. The attack targeted the army buses near the central square of Kizilay. Many ministries, the headquarters of the army and the Turkish parliament are in this neighbourhood. The Turkish news channels showed images of a raging fire that engulfed military vehicles. The explosion was audible several kilometers away.[26]";"Kurdistan Freedom Falcons";"Kurdish-Turkish conflict";"February";"2016"
18;"Bombing";"6";"1";"Diyarbakir, Turkey";"2016 Diyarbakir bombing: A bomb killed at least 6 soldiers and another were injured. The attack occurred on 18 February 2016 in Diyarbakir a city in Diyarbakir Province.[27]";"Kurdistan Freedom Falcons";"Kurdish-Turkish conflict";"February";"2016"
18;"Melee Attack";"1";"0";"Manchester, United Kingdom";"An Imam is beaten to death by two ISIS supporters for practicing \"black magic\".[28]";"Islamic State inspired lone wolves";"Wave of Terror in Europe";"February";"2016"
18;"Melee attack";"1";"1 (+2)";"Sha'ar Binyamin Industrial Zone, West Bank";"Two 14-year-old Palestinians entered a Rami Levi supermarket and stabbed two Israelis, killing one and wounding the other. Other shoppers confronted the assailants, and a civilian, who carried a firearm, shot and wounded the assailants.[29]";"Palestinians lone wolf";"Israeli-Palestinian conflict";"February";"2016"
19;"Suicide bombing";"24";"112";"Meme, Cameroon";"Two suicide bombers attacked a market in the northern Cameroon region of Meme. 24 people were killed in the blast and another 112 injured. No group claimed responsibility, but Boko Haram is suspected.[30]";"Boko Haram";"Boko Haram insurgency";"February";"2016"
19;"Attack";"3";"0";"Diyarbakir, Turkey";"At least 2 soldiers and one police officer die in an PKK attack in Diyarbakir.[31]";"PKK";"PKK rebellion (2015–present)";"February";"2016"
19;"Melee attack";"0 (+1)";"2";"Jerusalem, Israel";"Two Israelis were injured in a stabbing attack at Jerusalem's Damascus gate in the Old City. The attacker was shot and killed.[32]";"Palestinian lone wolf";"Israeli-Palestinian conflict";"February";"2016"
20;"Shooting";"2 (+2)";"10";"Srinagar, India";"Several gunmen attacked a paramilitary convoy in Indian Kashmir, killing two soldiers, after they fired on an office building, where there were one hundred people. They also injured ten people. Two attackers were killed.[33]";"Unknown";"Kashmir Conflict";"February";"2016"
20;"Siege";"8";"11+";"Jammu and Kashmir, India";"Three terrorists attacked a Central Reserve Police Force convoy and took shelter in the Jammu & Kashmir Entrepreneurs Development Institute. Security forces and the terrorists exchanged fire. All three terrorists were killed, along with three army soldiers, a gardener at the institute, and a civilian.";"Lashkar-e-Taiba";"Unknown";"February";"2016"
21;"Bombing";"57";"100+";"Homs, Syria";"February 2016 Homs bombings: Two bombings occurred in pro-Government, mainly Shia inhabited, Zahraa neighbourhood in Homs. The first blast was caused by a car bomb and the second one was a result of a car bomb or a suicide bombing. 57 people were killed and at least 100 wounded. Islamic State claimed responsibility.[34][35]";"Islamic State";"Syrian Civil War";"February";"2016"
