"Date";"Type";"Dead";"Injured";"Location";"Details";"Perpetrator";"Conflict";"Month";"Year"
"1";"Bombing";"12";"10";"Af Urur Puntland, Somalia";"An Al-Shabaab bomb exploded near a market in Puntland region, in the city of Af Uhur. At least 12 people were killed, including five Somalian soldiers.[1]";"Al-Shabaab";"War in Somalia";"September";"2017"
"1";"Ambush";"1";"7";"Srinagar district, India";"One policeman was killed and seven others were injured after terrorists ambushed a police party in Pantha Chowk area of Jammu and Kashmir's Srinagar district.[2]";"Lashkar-e-Taiba";"Insurgency in Jammu and Kashmir";"September";"2017"
"1";"Bombing";"3";"2";"Mohmand Agency, Pakistan";"Three men, including an anti-Taliban tribal elder, were killed while two others injured when a roadside bomb went off in the Anbar tehsil of Mohmand Agency.[3]";"Jamaat-ul-Ahrar";"War in North-West Pakistan";"September";"2017"
"1";"Ambush";"2";"0";"Gossi, Mali";"Gunmen ambushed a truck transporting supplies for the UN MINUSMA mission in Mali, killing two people.[4]";"Al-Qaeda in the Islamic Maghreb";"Insurgency in the Maghreb (2002–present)";"September";"2017"
"2";"Suicide bombings";"7 (+3)";"12";"Samarra, Iraq";"Suicide bombers killed seven people and wounded 12 in an attack on a power plant north of Baghdad.[5]";"Islamic State";"Iraqi Civil War";"September";"2017"
"2";"Shooting";"2 (+1)";"4";"Karachi, Pakistan";"Militant gunmen killed a 10-year-old boy, a guard and wounded 4 others when they fired at politician Khawaja Izharul Hassan in Karachi.[6][7]";"Al-Qaeda (suspected)";"Terrorism in Pakistan";"September";"2017"
"2";"Shooting";"0";"0";"Norte de Santander, Colombia";"A shootout was recorded in the Catatumbo region in northern Santander between military units and members of the Popular Liberation Army, the events were presented at a time when a UN commission would come to take a cove of the FARC.[8]";"Popular Liberation Army";"Colombian conflict";"September";"2017"
"2";"Bombing";"0";"4";"Baghdad Governorate, Iraq";"Three people were wounded when a bomb blast hit an area in southeastern Baghdad.[9]";"Islamic State (suspected)";"Iraqi Civil War";"September";"2017"
"3";"Suicide attacks, shooting";"22 (+20)";"24";"Kismayo, Somalia";"Al Shabaab attacked a military base of Somali National Army with suicide car bombs with fighting erupting later. 20 militants and at least 22 soldiers were killed.[10][11]";"Al-Shabaab";"War in Somalia";"September";"2017"
"3";"Shooting";"2";"0";"Ukunda, Kenya";"Two police officers guarding a church in Ukunda died after being shot with Al-Shabaab militants suspected to be behind it.[12]";"Al-Shabaab (suspected)";"Spillover of the war in Somalia";"September";"2017"
"3";"Mortar attack";"1";"0";"Çukurca, Turkey";"A Turkish soldier was killed in a rocket attack by PKK in Çukurca.[13]";"PKK";"Kurdish-Turkish conflict";"September";"2017"
"3";"Stabbing";"11";"3";"Borno State, Nigeria";"Boko Haram insurgents attacked an IDP camp in Borno State, killing eleven people and injuring three persons while also kidnaping four before fleeing. The attackers used swords and sharp knives to carry out the acts.[14]";"Boko Haram";"Boko Haram insurgency";"September";"2017"
"3";"Bombing";"0";"1";"Babil Governorate, Iraq";"A bomb, placed on the side of the road in Hor Rajab region, south of Baghdad, exploded on Sunday, causing injury of a civilian who was passing when the explosion took place.[15]";"Islamic State (suspected)";"Iraqi Civil War";"September";"2017"
"4";"Bombing";"2";"Unknown";"Mogadishu, Somalia";"At least two civilians were killed while several others were wounded in a bomb blast that occurred in the outskirts of Mogadishu.[16]";"Al-Shabaab (suspected)";"War in Somalia";"September";"2017"
