"Date";"Type";"Dead";"Injured";"Location";"Details";"Perpetrator";"Conflict";"Month";"Year"
"1";"Bombing";"21";"8";"Baghdad, Iraq";"In the evening, a bomb exploded in the southeast of Baghdad in al-Za'faraniya outside a medical center. twenty-one people where killed and eight others were wounded.[1]";"Islamic State";"Iraqi Civil War";"June";"2016"
"1";"Suicide Bombings";"10 (+2)";"40";"Sirte, Libya";"ten libyans are taken out by two isis suicide bombers.";"Islamic State";"Libyan Civil War";"June";"2016"
"1";"Shooting";"3";"0";"Tal Afar, Iraq";"three young men are forced to there knees and shot in the back of the head by the islamic state.";"Islamic State";"Iraqi Civil War";"June";"2016"
"1";"Executed";"13";"0";"Nineveh, Iraq";"thirteen people are executed for refusing to join the islamic state.";"Islamic State";"Iraqi Civil War";"June";"2016"
"1";"Suicide car bombing, hostage-taking";"16 (+3)[2]";"55";"Mogadishu, Somalia";"June 2016 Mogadishu attack: A suicide bomber detonated a car bomb outside the Ambassador Hotel in Mogadishu after which two gunmen opened fire on the hotel and took hostages before being killed by police. 16 people were killed and several dozen more wounded. Al-Shabaab claimed responsibility.";"Al-Shabaab";"War in Somalia";"June";"2016"
"1";"Bombing";"2";"9";"Baghdad, Iraq";"2 people were killed and 9 injured after a bombing near a playground.[3]";"Unknown";"Iraqi Civil War";"June";"2016"
"1";"Execution";"13";"Unknown";"Nineveh, Iraq";"13 Iraqi Army weapons experts and officers were executed by ISIS for refusing to work with them.[4]";"Islamic State";"Iraqi Civil War";"June";"2016"
"1";"Bombing";"1";"9";"Baghdad, Iraq";"1 person was killed and 9 injured after a bombing near shops.[5]";"Unknown";"Iraqi Civil War";"June";"2016"
"1";"Suicide bombing";"0 (+4)";"Unknown";"Kabisa, Iraq";"4 suicide bombers were killed before they could attack. No other deaths reported yet.[6]";"Islamic State";"Iraqi Civil War";"June";"2016"
"1";"Suicide bombing and shooting";"9+ (+4)";"13";"Ghazni, Afghanistan";"The Taliban stormed a court building, killing 9 and injuring 13. A firefight broke out between them and the police, and 4 attackers were killed.[7]";"Taliban";"War in Afghanistan";"June";"2016"
"1";"Mortar attack";"4";"3";"Gao, Mali";"Four UN Mali mission staff were killed in two attack. A Chinese peacekeeper was killed-the first Chinese peacekeeper to be killed in the north. Three other Chinese peacekeepers were injured in the first attack. In the second attack two security guards and an international expert was killed, one was French and the other two are from Mali. AQIM claimed the attack.[8]";"AQIM";"Northern Mali conflict";"June";"2016"
"2";"Shooting";"1";"1";"al-Hawd, Iraq";"1 person was killed and 1 injured after a gunmen shot at a civilian house.[9]";"Unknown";"Iraqi Civil War";"June";"2016"
"2";"Suicide Bombing";"5 (1)";"0";"Latakia, Syria";"five people are reportedly killed when a suicide bomber strikes a rival mosque.";"unknown";"Syrian Civil War";"June";"2016"
