"Date";"Type";"Dead";"Injured";"Location";"Details";"Perpetrator";"Conflict";"Month";"Year"
1;"Shooting";"7";"0";"Kulgam district, India";"Five policemen and two bank security guards were killed in south Kashmir's Kulgam district.[1]";"Jaish-e-Mohammed (suspected)";"Kashmir conflict";"May";"2017"
1;"Execution, Kidnapping";"1";"4 kidnapped";"Rafah, Egypt";"Islamic State militants executed a woman and kidnapped her husband and three children in Rafah.[2]";"Islamic State";"Insurgency in Egypt";"May";"2017"
1;"Shooting";"3";"5";"Cairo, Egypt";"A police convoy that was in the Nasr City area of Cairo were attacked after gunmen in two vehicles opened fire. The attack killed three police officers and wounded five.[3]";"The Hasm Movement (suspected)";"Insurgency in Egypt";"May";"2017"
1;"Shooting";"2";"1";"Téra Department, Niger";"At least 2 gendarmes killed & 1 civilian wounded in attack in Fonéko, Tillabéri Region.[4]";"Boko Haram";"Boko Haram insurgency";"May";"2017"
1;"Car bombing";"1";"4";"Cesar Department, Colombia";"A car bomb attack on Sunday in César department in northern Colombia left one person dead and four injured, according to the police.[5]";"ELN";"Colombian conflict";"May";"2017"
1;"Shooting";"1";"Unknown";"Cauca, Colombia";"A Colombian policeman died in the town of Caloto, department of Cauca (southwest), in an attack by the guerrilla Ejercito de Liberacion Nacional.[6]";"ELN";"Colombian conflict";"May";"2017"
2;"Ambush";"9";"5";"Diabaly, Mali";"A Malian army supply convoy fell into an ambush between Diabaly and Nampala in the center of the country. 9 were killed and 5 injured.[7]";"Al-Qaeda in the Islamic Maghreb";"Insurgency in the Maghreb";"May";"2017"
2;"Shooting";"37";"100";"Hasakah, Syria";"Islamic State militants killed at least 37 Iraqi refugees and wounded 100 others who were heading to a refugee camp in Syria near the borders with Iraq.[8][9]";"Islamic State";"Syrian Civil War";"May";"2017"
2;"Shooting";"1";"0";"El Arish, Egypt";"An assassination took place in Arish city earlier today as an ISIS sleeper cell shot dead an unidentified Egyptian soldier up close in broad daylight.[10]";"Islamic State";"Sinai insurgency";"May";"2017"
2;"Bombing, Shooting";"1";"3";"Tibú, Colombia";"One soldier killed and three wounded is the result of a shootout between the Army and the ELN in Tibú, Norte de Santander.[11] In another incident in the same place several handmade explosives were placed next to the side of the police station. The authorities of Norte de Santander reported that this attack only generated material damages, there were no deaths or injuries.[12]";"ELN and EPL";"Colombian conflict";"May";"2017"
2;"Shooting";"2";"0";"Kirkuk, Iraq";"Gunmen killed Younis and his assistant in the Wahid Hozairan Neighborhood located in southern Kirkuk.[13]";"Islamic State";"Iraqi Civil War";"May";"2017"
2;"Shooting";"10";"6";"Al Anbar Governorate, Iraq";"Fighters from ISIS have killed at least 10 Iraqi soldiers in the country's western province of Anbar, according to officials.[14]";"Islamic State";"Iraqi Civil War";"May";"2017"
3;"Suicide car bombing";"8 (+1)";"28";"Kabul, Afghanistan";"Eight people were killed and 28 more were injured when a suicide car bomber detonated next to a convoy of NATO vehicles near the U.S. embassy in Kabul.[15]";"Islamic State";"War in Afghanistan";"May";"2017"
3;"Suicide bombing";"2 (+2)";"3";"Samarra, Iraq";"Two policemen were killed in a suicide bombing by IS terrorists in Iraq's northern Saladin province, according to a local military source.[16]";"Islamic State";"Iraqi Civil War";"May";"2017"
3;"Bombing";"1";"2";"Baghdad, Iraq";"A teacher was killed as a bomb placed under a vehicle exploded in western Baghdad. In another blast, two persons were wounded as a bomb exploded in Nahrawan district, southeast of Baghdad.[17]";"Islamic State";"Iraqi Civil War";"May";"2017"
3;"Shelling";"1";"9";"Timbuktu, Mali";"3 rockets struck the MINUSMA Super Camp at Timbuktu Airport around leaving 1 peacekeeper dead and 9 wounded.[18]";"Al-Qaeda in the Islamic Maghreb";"Northern Mali conflict";"May";"2017"
3;"Car bombing";"4";"4";"Azaz, Syria";"Four people were killed and at least four others injured when a car bomb exploded Syria's northern city of Azaz a bastion of pro-opposition interim government.[19]";"Islamic State (suspected)";"Syrian Civil War";"May";"2017"
3;"Attempted shooting";"0 (+1)";"0 (+4 captured)";"Tibú, Colombia";"An ambush attempt was frustrated jointly by the Colombian Air Force, the National Army and the National Police, in the village of Miramonte in the same municipality of Tibú, one guerrilla died and four others were captured.[20]";"EPL";"Colombian Conflict";"May";"2017"
5;"Suicide bombing";"5 (+2)";"6";"Maiduguri, Nigeria";"Five people are dead in northeast Nigeria in an attack by two female suicide bombers.[21]";"Boko Haram";"Boko Haram insurgency";"May";"2017"
5;"Bombing";"1";"2";"Kirkuk, Iraq";"An improvised explosive device (IED) in the south of Kirkuk Province killed a Peshmerga officer and wounded two other soldiers.[22]";"Islamic State (suspected)";"Iraqi Civil War";"May";"2017"
5;"Suicide car bombing";"5 (+1)";"8";"Haditha, Iraq";"A suicide bomber, driving a car bomb, blew himself up in the center of Haditha, killing five people and wounding eight others.[23]";"Islamic State";"Iraqi Civil War";"May";"2017"
5;"Shooting";"1";"2";"Middle Shebelle, Somalia";"A US military member was killed and two others wounded in Somalia when they were attacked while on a mission advising Somali National Army forces.[24]";"Al-Shabaab";"War in Somalia";"May";"2017"
