"Date";"Type";"Dead";"Injured";"Location";"Details";"Perpetrator";"Conflict";"Month";"Year"
"1";"Suicide bombing";"41";"63";"Randi, Iraq";"Three suicide bombers in humvees attacked an Iraqi police station in the Tharthar region in Northern Anbar Province. Forty-one security forces were killed along with an sixty-three members wounded. ISIL claimed responsibility for the attack.[1]";"ISIL";"Iraq War";"June";"2015"
"4";"Ambush";"20";"11";"Manipur, India";"2015 Manipur ambush: The attack, in the Chandel district of Manipur State close to the border with Myanmar, was carried out against a small convoy of army vehicles traveling from one army camp to another in the hilly and forested area about 60 miles south of the state capital, Imphal.[2]";"Unknown";"Insurgency in Northeast India";"June";"2015"
"7";"Arson";"0";"0";"Mississauga, Canada";"Assailants ignited incendiary devices targeting trucks of Harlan Laboratories in Mississauga, Ontario, Canada. There were no casualties in the attack; however, two trucks were damaged by the fire. Animal Liberation Front claimed responsibility for the incident, stating that the group targeted the company because it supplies animals for laboratory research. [3]";"Animal Liberation Front";"Terrorism in Canada";"June";"2015"
"8";"Suicide bombing, shooting";"7 (+19)";"";"North Waziristan, Pakistan";"19 militants and seven soldiers were killed by suicide bombing and exchange of gunfire in North Waziristan, Pakistan.[4]";"Unknown";"War in North-West Pakistan";"June";"2015"
"11";"Shooting";"2";"6";"Peshawar, Pakistan";"Two policemen were killed in an attack by pro-Taliban militants in Peshawar, Khyber Pakhtunkhwa, Pakistan.[5]";"Pakistani Taliban";"War in North-West Pakistan";"June";"2015"
"13";"Suicide bombing";"11";"27";"Hajjaj, Iraq";"Four suicide SUV car bombs went off in an Iraqi police station in the Hajjaj near Tikrit and Baiji. Eleven security forces were killed along with twenty-seven members wounded. ISIL claimed responsibility for the attack.[6]";"ISIL";"Iraq War";"June";"2015"
"15";"Suicide bombing";"23";"100";"N'Djamena, Chad";"Suicide bombers on motorcycles detonated themselves near police headquarters[7] in N'Djamena on the 15th.[8]";"Boko Haram (suspected)";"Boko Haram insurgency";"June";"2015"
"17";"Shooting";"9";"1";"Charleston, South Carolina, United States";"The Charleston church shooting was a mass shooting and hate crime that took place at the Emanuel African Methodist Episcopal Church. During a prayer service, nine people, were killed by the gunman.";"Dylann Roof";"Terrorism in the United States";"June";"2015"
"17";"Raid";"38";"0";"Diffa Region, Niger";"At least 38 people were killed by Boko Haram militants in raids on two villages (Ungumawo and Lamina) in Niger's Diffa Region.[9]";"Boko Haram";"Boko Haram insurgency";"June";"2015"
"17";"Bombing";"63";"";"Monguno, Nigeria";"Monguno bombing: A large sack containing homemade bombs exploded in Monguno, Nigeria, causing 63 deaths.[10]";"Boko Haram";"Boko Haram insurgency";"June";"2015"
"22";"Car bomb, Shooting";"9";"40";"Kabul, Afghanistan";"Kabul Parliament attack: On 22 June 2015, the Taliban detonated a car bomb outside the National Assembly in Kabul, and Taliban fighters attempted to storm the building. Taliban spokesman Zabihullah Mujahid claimed responsibility for the attack, saying that it was timed to coincide with a parliamentary speech of the new defense minister Mohammed Masoom Stanekzai.";"Taliban";"War in Afghanistan";"June";"2015"
"22–23";"Shooting";"42";"0";"Borno, Nigeria";"More than 42 people are shot dead by suspected Boko Haram gunmen in two attacks on villages in Nigeria's Borno state.";"Boko Haram";"Boko Haram insurgency";"June";"2015"
"23";"Suicide bombing";"10";"0";"Gujba, Nigeria";"A young female suicide bomber (around 12 years of age) killed 10 people in Gujba, Yobe State, Nigeria.[11]";"Unknown";"Boko Haram insurgency";"June";"2015"
"23";"Suicide bombing";"30";"0";"Maiduguri, Nigeria";"Two female suicide bombers blew themselves up near a crowded mosque in Maiduguri, Nigeria, causing at least 30 deaths.[12]";"Boko Haram (suspected)";"Boko Haram insurgency";"June";"2015"
"24";"Suicide bombing";"6";"6";"Mogadishu, Somalia";"Al Shabaab militants killed at least six people and injured another six in a suicide car bomb attack on a UAE relief convoy in Mogadishu. Out of the killed, four were civilians, and no UAE official was hurt in the attack.[13]";"Al Shabaab";"Somali Civil War";"June";"2015"
"25–29";"Massacre, Suicide bombing, Hostage-taking";"223–233";"300+";"Barkh Butan, Kobani, Syria";"Kobanî massacre: On 25 June 2015, ISIL bombers detonated three car bombs in Kobanî, close to the Turkish border crossing.";"ISIL";"Syrian Civil War";"June";"2015"
"25";"Bombing, Mass shooting";"8";"24";"Baghdad, Iraq";"Five separate bombings and a shooting incident in Baghdad killed at least eight and injured more than two dozen people.[14]";"ISIL (suspected)";"Iraq War";"June";"2015"
"25";"Bombing";"0";"0";"Tumaco, Colombia";"An explosion of a trans-Andean oil pipeline in Tumaco by the FARC front 48, resulting in the spill of 410 thousand gallons of crude oil. Considered the \"worst ecological damage of the decade\".[15][16]";"FARC Front 48";"Colombian conflict";"June";"2015"
"26";"Suicide bombing";"20";"0";"Hasakeh, Syria";"An ISIL suicide bomber killed at least 20 people in the city of Hasakeh.";"ISIL";"Syrian Civil War";"June";"2015"
"26";"Bombing, Beheading";"1";"2";"Saint-Quentin-Fallavier, France";"Saint-Quentin-Fallavier attack: One attacker decapitated one person and blew up a gas canister in a factory in Saint-Quentin-Fallavier, near Lyon. One person was killed and two were injured. The attacker wrote unknown Arabic writings on the head and placed it near the entrance of the factory. The attackers claimed association with an Islamist organisation, leaving a flag behind. One attacker was killed and the other arrested.[17]";"ISIL";"Wave of Terror in Europe";"June";"2015"
"26";"Suicide bombing";"27 (+1)";"227";"Kuwait City, Kuwait";"2015 Kuwait mosque bombing: At least 27 people are killed and another 227 were injured after a suicide bombing at the Imam Sadiq mosque in Kuwait City, Kuwait.[18]";"ISIL";"";"June";"2015"
"26";"Mass shooting";"38 (+1)";"40";"Sousse, Tunisia";"Sousse attacks: In the Tunisian town of Sousse, 38 people (mostly Western tourists, with the majority being British) were killed by armed gunmen. ISIL claimed responsibility.[19] The main gunman was killed in an exchange of gunfire with the army and armed police.";"ISIL";"ISIL insurgency in Tunisia";"June";"2015"
"26";"Attack";"70";"27";"Leego, Somalia";"Battle of Leego (2015): Al Shabaab militants attack an African Union base in the Leego district of Somalia and kills more than 70 African Union soldiers and seizes control of their military base.[20]";"Al Shabaab";"Somali Civil War";"June";"2015"
