"Date";"Type";"Dead";"Injured";"Location";"Details";"Perpetrator";"Conflict";"Month";"Year"
"1";"Shooting, melee attack";"2";"0";"Arish, Sinai, Egypt";"One civilian was beheaded and his 17-year-old son run shot in the north of Egypt's Sinai. No group claimed responsibility, but Islamic State affiliated Wilayat Sayna is suspected.[1]";"Wilayat Sayna (suspected)";"Sinai Insurgency";"March";"2016"
"1";"Land mine";"0";"6";"near Kidal, Mali";"Six peacekeepers were wounded, two seriously, when their vehicle hit a mine in north-eastern near Kidal, Mali placed by terrorists.[2]";"Unknown";"Northern Mali conflict";"March";"2016"
"1";"Shelling";"0";"4";"Latakia Governorate, Syria";"Assailants fired mortars at foreign journalists near Kinsibba, Lattakia governorate, Syria. At least four people were injured in the incident. This was one of two projectile attacks near Kinsibba on the same day. No group claimed responsibility; however, sources attributed the incidents to Al-Nusrah Front.[3]";"Al-Nusrah Front (suspected)";"Syrian Civil war";"March";"2016"
"2";"Bombing";"5";"8";"Alamada, Somalia";"an al-shabbab bomb produces five dead bodies.";"Al-Shabbab";"War in Somalia";"March";"2016"
"2";"Melee attack";"0 (+2)";"1";"Eli, West Bank";"Two Palestinians infiltrated a settlement and were shot dead[4]";"Palestinian lone wolves";"Israeli-Palestinian conflict";"March";"2016"
"2";"Suicide bombing, bomb and shooting";"3 (+5)";"19";"Jalalabad, Afghanistan";"A suicide bomber first detonated near the Indian consulate. Then four accomplices broke into the consulate complex and traded gunfire with security forces before being slaughtered Explosions and gun shots killed three people in the city of Jalalabad, in eastern Afghanistan, near the Indian Consulate, a district that houses several diplomatic missions. This new attack against Indian interests was not claimed immediately.[5]";"Unknown";"War in Afghanistan";"March";"2016"
"2";"Car bomb";"18";"Unknown";"Quneitra, Syria";"A suicide car bomb killed 18 rebels of the Syrian Revolutionary Front, a member of the Free Syrian Army in the province of Quneitra;[6]";"Islamic State (suspected)";"Syrian Civil War";"March";"2016"
"2";"Melee attack";"0";"2";"Har Bracha, West Bank";"Two Israeli soldiers were injured in a stabbing attack in Har Bracha near Nablus in the northern West Bank.[7]";"Palestinian lone wolf";"Israeli-Palestinian conflict";"March";"2016"
"2";"Shooting";"1";"0";"Yala, Thailand";"A Muslim employee of a rubber plantation in Yala, was shot by Islamist militants on a motorbike.[8]";"Unknown";"South Thailand insurgency";"March";"2016"
"2";"Shooting";"3";"0";"Narathiwat, Thailand";"Two rangers and an employee of a rubber plantation were killed by Islamist militants on a motorbike in the Narathiwat Province.[8]";"Unknown";"South Thailand insurgency";"March";"2016"
"3";"Shooting";"0 (+2)";"1";"Istanbul, Turkey";"Two women opened fire on a police station in the suburbs of Istanbul. Police fired back and wounded one of the women before the two fled. Police later cornered the two women and killed them both in a raid. A police officer was also wounded in the raid.[9]";"DHKP-C";"DHKP/C insurgency in Turkey";"March";"2016"
"3";"Melee attack";"0";"1";"Al-Auja, West Bank";"A Palestinian teenager attacked with a knife an Israeli policeman in the Jordan Valley, before being arrested. The police officer was wounded in the shoulder.[10]";"Palestinian lone wolf";"Israeli-Palestinian conflict";"March";"2016"
"4";"Vehicular attack";"0 (+1)";"1";"Gush Etzion Junction, West Bank";"A Palestinian girl wounded an Israeli soldier in an vehicular attack in the West Bank. It accelerated on three soldiers. She was shot by soldiers.[11]";"Palestinian lone wolf";"Israeli-Palestinian conflict";"March";"2016"
"4";"Bomb";"1";"0";"Belfast, United Kingdom";"A Prison Officer was badly wounded when a booby-trap bomb exploded under his van on Hillsborough Drive, East Belfast. The RIRA claimed responsibility but referred to themselves as the New IRA and said it was a response to the alleged mistreatment of republican prisoners at Maghaberry Prison. It added that the officer was targeted because he trained Prison Officers at Maghaberry. The Prison Officer later died from result of the attack.[12][13][14]";"New IRA";"Dissident Irish Republican campaign";"March";"2016"
"4";"Car bomb, rocket attack";"2";"35";"Nusaybin, Turkey";"Two policemen were killed and 35 people injured in the explosion of a car bomb and in a rocket attack in the Mardin Province in southeastern Turkey. The attack occurred in the town of Nusaybin, near the Syrian border. The operation was not claimed immediately, but it would be the fact of fighters Kurdistan Workers' Party (PKK), according to Turkish security services.[15]";"PKK (suspected)";"Kurdish–Turkish conflict";"March";"2016"
"4";"Shooting";"15";"0";"Aden, Yemen";"Four armed men entered the home of the Catholic Congregation of the Missionaries of Charity after killing a guard. They tied the hands of people who were inside the building and then have them slaughtered. According to security officials, the victims are four foreign religious — two Rwandan, a Kenyan and an Indian — and eleven employees.[16]";"Islamic State (suspected)";"Yemeni Civil War";"March";"2016"
"5";"Executed";"132";"0";"Mosul, Iraq";"one-hundred and thirty-two people are executed by a Sharia court.";"Islamic State";"Iraqi Civil War";"March";"2016"
"6";"Bomb, shooting";"3";"0";"Sheikh Zuweid, Egypt";"Two members of the security forces and a paramedic were killed in the strafing of the ambulance carrying the first two security forces, wounded in a bombing in the Egyptian Sinai.[17]";"Wilayat Sayna (suspected)";"Sinai Insurgency";"March";"2016"
"6";"Suicide truck bombing";"61 (+1)";"95";"Hillah, Iraq";"A suicide bomber kills at least 60 people and wounds 70 others after ramming his explosives-laden truck into a security checkpoint at one of entrances to the Iraqi city of Hillah, south of Baghdad.[18]";"Islamic State";"Iraqi Civil War";"March";"2016"
