"Date";"Type";"Dead";"Injured";"Location";"Details";"Perpetrator";"Conflict";"Month";"Year"
"1";"Shooting";"9 (+3)";"37";"Peshawar, Pakistan";"2017 Peshawar Agriculture Directorate attack: On 1st December 2017 Friday morning 3-4 gunmen who were burqa-clad, arrived at the Agriculture Training Institute in a rickshaw. 9 people were killed and 37 were injured. Three attackers were also killed.[1][2][3]";"Tehrik-i-Taliban Pakistan";"Operation Radd-ul-Fasaad";"December";"2017"
"1";"Ambush";"2 (+12)";"Unknown";"Somalia";"Two Somali soldiers and 12 militants were killed when al-Shabab militants attacked a convoy.[4]";"Al-Shabaab";"War in Somalia";"December";"2017"
"1";"Bombing, Suicide car bombing";"1 (+1)";"11";"Baghdad, Iraq";"At least one civilian was killed and eleven others were injured in a serie of bombings in southern Baghdad. Another bomb went off in a road next to the capital.[5]";"Jihad and Reform Front (suspected)";"Iraqi Civil War";"December";"2017"
"2";"Suicide bombings";"15 (+2)";"53";"Borno State, Nigeria";"Fifteen persons were killed and 53 others injured in twin suicide bomb attacks in a market in Borno State.[6]";"Boko Haram";"Boko Haram insurgency";"December";"2017"
"2";"Bombing";"25";"Unknown";"Rawa, Iraq";"25 people were killed when a house rigged with explosives blew up in Rawa.[7]";"Islamic State (suspected)";"Iraqi Civil War";"December";"2017"
"2";"Rocket, bombing";"3";"10";"Jalalabad, Afghanistan";"Three Afghan security officers were killed and 10 other people were injured in three rocket and bomb attacks in Jalalabad.[8]";"Islamic State";"War in Afghanistan";"December";"2017"
"3";"Suicide bombing";"6 (+1)";"13";"Jalalabad, Afghanistan";"At least six civilians, including a woman and a child, were killed and 13 others wounded in a blast in Jalalabad.[9]";"Taliban (suspected)";"War in Afghanistan";"December";"2017"
"3";"Bombings";"1";"5";"Baghdad, Iraq";"One person was killed while five others were injured in two bomb blasts in northern and eastern Baghdad.[10]";"Islamic State (suspected)";"Iraqi Civil War";"December";"2017"
"4";"Bombing";"0";"11";"Chapali Bhadrakali, Nepal";"11 persons including Nepali Congress youth leader Gagan Thapa have been injured in an explosion targeting his election rally at Chapali.[11]";"People's Liberation Army, Nepal (suspected)";"Aftermath of Nepalese Civil War";"December";"2017"
"4";"Rockets";"2";"7";"Damascus, Syria";"Two civilians were killed and another seven were wounded when militant missiles hit the Al-Abassiyeen Bus Station in Damascus.[12]";"Tahrir al-Sham (suspected)";"Syrian Civil War";"December";"2017"
"4";"Shooting";"1";"3";"Bria, Central African Republic";"A UN police officer from Mauritania was killed and three others injured in a shooting attack in Bria by Anti-balaka militants.[13]";"Anti-balaka";"Central African Republic Civil War";"December";"2017"
"4";"Shooting";"1 (+2)";"0";"Qazigund, Kashmir, India";"A soldier was killed after militants attacked an army patrol in Qazigund area of south Kashmir. The two attackers were killed by the security forces.[14]";"Jammu Kashmir Liberation Front (suspected)";"Insurgency in Jammu and Kashmir";"December";"2017"
"5";"Bombing";"8";"16";"Homs, Syria";"A bomb blast killed 8 people and injured 16 others on a bus in Syria's Homs city.[15]";"Islamic State";"Syrian Civil War";"December";"2017"
"5";"Bombing, Car bombing";"2";"1";"Baghdad, Iraq";"Two persons were killed and another injured in two explosions in Baghdad.[16]";"Islamic State (suspected)";"Iraqi Civil War";"December";"2017"
"5";"Suicide bombing";"6 (+1)";"9";"Mir Ali, Pakistan";"Six civilians were killed and nine others were injured in an attack carried out by a suicide bomber in Mir Ali. The target of the attack was a security convoy.[17]";"Tehrik-e-Taliban Pakistan (suspected)";"War in North-West Pakistan";"December";"2017"
"6";"Shooting, Kidnapping";"6";"4";"Kirkuk, Iraq";"Five people were killed and four others kidnapped in an armed attack in southwest Kirkuk. Furthermore, a policeman was killed in a drive-by shooting in Kirkuk city.[18][19]";"Islamic State";"Iraqi Civil War";"December";"2017"
"6";"Execution";"1";"0";"Rajasthan, India";"A Muslim man was burned alive by a Hindu extremist in Rajasthan, India. The attacker has released a video of the act.[20]";"Hindu Nationalist (suspected)";"Terrorism in India";"December";"2017"
"6";"Shelling, Explosion";"1";"3";"Donetsk Oblast, Ukraine";"One Ukrainian serviceman was killed and another wounded by shelling at Avdiivka. In addition one Ukrainian soldier was wounded and another was injured by explosion of a booby trap.[21]";"Donetsk People's Republic (suspected)";"War in Donbass";"December";"2017"
"7";"Shooting";"1";"1";"Baghdad, Iraq";"One Iraqi was killed and another one was wounded when armed gunmen shot at them in northern Baghdad.[22]";"Islamic State (suspected)";"Iraqi Civil War";"December";"2017"
"7";"Melee attack";"0";"0 (+1)";"Amsterdam, Netherlands";"A man carrying a Palestinian flag attacked a Jewish restaurant in Amsterdam with a club while shouting 'Allahu akbar'. There were no injuries in the attack, but the restaurant's windows were destroyed, as two police officers looked on without intervening.[23] The attacker, a 29-year-old Syrian, was released by Dutch authorities on December 20, despite evidence that the man had acted as a trained combatant in Syria's civil war, and despite his claims that he would again resort to violence if sufficiently angered, and despite his statement to the Dutch court that his attack on the restaurant was “only the first step.” [24]";"Palestinian Nationalist";"Terrorism in Europe";"December";"2017"
"7";"Shooting";"5";"5";"Donetsk Oblast, Ukraine";"One Ukrainian military officer was killed and three others wounded in the Donetsk Oblast at noon. Later in the evening four Ukrainian soldiers were killed (at Vodiane, Kamianka, and Travneve), and two soldiers were wounded.[25]";"Pro-Russian Separatists (suspected)";"War in Donbass";"December";"2017"
"8";"Bombing";"0";"5";"Baghdad, Iraq";"Five civilians were wounded in a bomb blast in the south of Baghdad.[26]";"Islamic State (suspected)";"Iraqi Civil War";"December";"2017"
"8";"Bombing";"1";"2";"Anbar, Iraq";"An army officer was killed, while two other soldiers were wounded as a booby-trapped house exploded in western Anbar.[27]";"Islamic State";"Iraqi Civil War";"December";"2017"
"8";"Shooting";"19";"53";"North Kivu, Democratic Republic of Congo";"At least 14 UN peacekeepers were killed and 53 wounded in an attack in the east of the Democratic Republic of Congo. Five soldiers were also killed during the attack. The attack was described as the worst on UN peacekeepers in recent history.[28]";"Allied Democratic Forces";"Allied Democratic Forces insurgency";"December";"2017"
"8";"Bombing";"1";"8";"Nangarhar province, Afghanistan";"An explosion inside a mosque in Nangarhar province, the east of Afghanistan, left one dead and at least eight others wounded.[29]";"Turkistan Islamic Party (suspected)";"War in Afghanistan";"December";"2017"
"8";"Bombing";"4";"0";"Mosul, Iraq";"Four police officers were killed in a bomb blast in southern Mosul.[30]";"Islamic State (suspected)";"Iraqi Civil War";"December";"2017"
"8";"Rocket attacks";"0";"2";"Sderot, Israel";"Three rockets were fired from Gaza to Israel during the Palestine clashes for the recognition of Jerusalem as the capital of Israel. One of the projectiles landed in Sderot and injured two people. The other two projectiles exploded in the sky. Al-Aqsa Martyrs' Brigades claimed the incident.[31][32]";"Al-Aqsa Martyrs' Brigades";"Israeli-Palestinian conflict";"December";"2017"
"9";"Car bombing";"2";"2";"Tikrit, Iraq";"A car parked in central Tikrit exploded, killing two and injuring two others. A number of shops were damaged in the bombing.[33]";"Islamic State";"Iraqi Civil War";"December";"2017"
"9";"Shooting";"7";"0";"Suárez, Cauca, Colombia";"At least seven people were killed in a encounter between FARC dissidents and other gruops un The zone [34][35]";"FARC dissidents";"Colombian conflict";"December";"2017"
"9";"Attacks";"5";"1";"East Ukraine";"Four Ukranian soldiers were killed and another injured in a series of attacks by Pro-Russian Separatists, in the east of the country. A civilian was also killed during the attack.[36][37]";"Pro-Russian Separatists";"War in Donbass";"December";"2017"
"9";"Bombings";"2";"7";"Baghdad, Iraq";"Several explosions hit different places in Baghdad. Loyalists of the Iraqi regime are suspected behind the attacks.[38][39]";"Supreme Command for Jihad and Liberation (suspected)";"Iraqi Civil War";"December";"2017"
"9";"Bombings";"4";"3";"Ramadi, Iraq";"Two bomb blasts in Ramadi killed at least four people. Islamic State is behind the attacks.[40][41]";"Islamic State";"Iraqi Civil War";"December";"2017"
