"Date";"Type";"Dead";"Injured";"Location";"Details";"Perpetrator";"Conflict";"Month";"Year"
"1";"Suicide car bombing";"2 (+1)";"6+";"Mogadishu, Somalia";"A car exploded outside a restaurant in Mogadishu. The blast killed at least two people.[1]";"Al-Shabaab";"War in Somalia";"October";"2016"
"1";"Shooting";"5";"0";"Arish, Egypt";"Islamic State militants have killed five Egyptian police conscripts.[2]";"Islamic State";"Sinai insurgency";"October";"2016"
"1";"Execution";"3";"0";"Al-Lataminah, Syria";"The jihadist rebel group, Jund al-Aqsa, executed two men and killed a woman in Al-Lataminah in the Hama Countryside at a house.[3]";"Jund al-Aqsa";"Syrian civil war";"October";"2016"
"2";"Bombing";"2";"7";"Baghdad, Iraq";"An improvised explosive device exploded in the Industrial Neighborhood in Basmaya area, southeast of Baghdad, killing two persons and wounding nine other with several injuries.[4]";"Unknown";"Iraqi Civil War";"October";"2016"
"2";"Bombing";"4";"3";"Arish, Egypt";"Four workers in an electrical company were killed and three of their colleagues were injured when the vehicle transporting them to work hit an IED in the west of Al Arish city in North Sinai.[5][6]";"Islamic State";"Sinai insurgency";"October";"2016"
"2";"Drone";"2";"2";"Erbil, Iraq";"The 2 October strike outside Irbil killed two Kurdish peshmerga fighters and wounded two French Special Operations troops, according to the report. One of the soldiers is critically injured.[7]";"Islamic State";"Iraqi Civil War";"October";"2016"
"2";"Rocket attack";"1";"Unknown";"Kilis, Turkey";"Three rockets fired from an Islamic State of Iraq and the Levant controlled region in Syria hit the border province of Kilis on 2 October, state-run Anadolu Agency has reported.[8]";"Islamic State";"Turkey–ISIL conflict";"October";"2016"
"2";"Shooting";"1";"0";"Sirte, Libya";"Jeroen Oerlemans was killed by an Islamic State sniper in Sirte. Jeroen was a photographer and war correspondent who reports mainly from Afghanistan and the Near East[9]";"Islamic State";"Second Libyan Civil War";"October";"2016"
"2";"Shooting";"1";"4";"Baramulla, India";"One Indian soldier killed and four others wounded after an attack on an army camp in Baramulla.[10]";"Kashmiri separatists";"Kashmir conflict";"October";"2016"
"3";"Bombing";"6";"40+";"Darzab District, Afghanistan";"An improvised explosive device exploded in Darzab District, killing six people and wounding 40 others.[11]";"Taliban (suspected)";"War in Afghanistan)";"October";"2016"
